id,name,address,latitude,longitude
471,NARVARTE,"Ermita 8, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, México",-99.1552687,19.4008397
473,NATIVITAS,"Bretaña 6, Zacahuitzco, Benito Juárez, 03550 Ciudad de México, CDMX, México",-99.1404577,19.3734564
475,UNIVERSIDAD,"Tenantitla 12, San Francisco, Coyoacán, 04320 Ciudad de México, CDMX, México",-99.1671368,19.3440064
477,TAXQUEÑA,"Cafetales, Culhuacan CTM V, Ciudad de México, CDMX, México",-99.1119135,19.3319853
479,CULHUACAN,"Viad. Tlalpan 3331, Ejido Viejo de Sta Úrsula Coapa, Coyoacán, 04980 Ciudad de México, CDMX, México",-99.1440473,19.3030408
483,REGION TLALPAN,"Calz. de Tlalpan 2962, Coapa, Espartaco, Coyoacán, 04980 Ciudad de México, CDMX, México",-99.13817829999999,19.3147712
484,PADIERNA,"Miguel Hidalgo 2da Secc, 14250 Ciudad de México, CDMX, México",-99.2023662,19.2811638
353,UPC TACUBAYA,"Calle José María Vigil 63, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, México",-99.1841733,19.4014156
358,UPC PLATEROS,"Chiviscoyo, Sede Delegacional, Álvaro Obregón, 01150 Ciudad de México, CDMX, México",-99.20003799999999,19.3909586
1,UPC Oasis,"Av. Canal de San Juan S/N, Ejército Constitucionalista I II y III, Iztapalapa, 09220 Ciudad de México, CDMX, México",-99.05988950000001,19.3876089
29,UPC Lindavista,"Calz. Vallejo, México",-99.1552632,19.4975074
445,UPM Femenil,"Sidar y Rovirosa 71, El Parque, Venustiano Carranza, 15960 Ciudad de México, CDMX, México",-99.1174116,19.4277315
528,DOV4 Sur,"Viad. Tlalpan 3333, Coapa, Ejido Viejo de Sta Úrsula Coapa, Coyoacán, 04980 Ciudad de México, CDMX, México",-99.14293459999999,19.3046945
447,UPC Tlahuac,"10 MZ92 LT1, Col del Mar, Tláhuac, 13270 Ciudad de México, CDMX, México",-99.0635903,19.283437
468,REGION BENITO JUAREZ,"Monrovia 143, Portales Nte, Benito Juárez, 03300 Ciudad de México, CDMX, México",-99.14893219999999,19.3719124
449,UPC TACUBA,"C. Mar Arábigo 9, Tacuba, Miguel Hidalgo, 11410 Ciudad de México, CDMX, México",-99.1851173,19.4590937
470,DEL VALLE,"Ermita 8, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, México",-99.1552687,19.4008397
472,PORTALES,"Monrovia 143, Portales Nte, Benito Juárez, 03300 Ciudad de México, CDMX, México",-99.14893219999999,19.3719124
474,REGION COYOACAN,"Itzolinque 19, San Francisco, Coyoacán, 04320 Ciudad de México, CDMX, México",-99.16749809999999,19.3440702
476,COYOACAN,"Itzolinque 19, San Francisco, Coyoacán, 04320 Ciudad de México, CDMX, México",-99.16749809999999,19.3440702
478,XOTEPINGO,"Av. del Imán 548, Pedregal de Carrasco, Coyoacán, 04300 Ciudad de México, CDMX, México",-99.1647947,19.3084614
